raceId,max_temp_c,precipitation_mm
1171,18.9,0.0
1172,27.5,15.4
1173,15.8,4.8
1174,23.5,0.0
1175,31.5,0.0
1176,34.2,0.2
1177,25.3,0.0
1178,18.4,0.8
1179,31.9,0.0
1180,17.7,1.7
1181,32.5,0.0
